Comuna,Dose,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
Los Andes,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,120,120,120,120,120,120,492,1106,1677,2212,2388,2388,3297,4213,5410,6526,7426,7430,7430,8423,9416,10387,11397,12105,12142,12205,13173,13738,13901,14022,14125,14145,14159,14725,15318,16113,16983,17031,17044,17061,17937,18701,19487,20405,20965,21008,21037,21962,23058,23826,24708,25472,25706,25788,26420,27012,27638,27985,28400,28457,28485,29180,29839,30320,30752,30836,30854,30906,31256,31762,32221,32550,33118,33194,33240,33575,33992,34384,34664,34909,34955,34992,35197,35418,35568,35829,35865,35930,35949,36191,36517,36696,36862,36967,37000,37003,37129,37531,37805,38107,38348,38452,38520,38971,39465,39813
Los Ángeles,First,0,480,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,772,5006,6962,8313,8648,8742,11093,13920,16985,19891,22972,23597,23936,27276,29776,31691,32966,34252,34627,34799,35925,36914,38069,39593,40621,40633,40646,41998,43763,45393,46991,48385,48401,48418,50062,51721,53445,55587,57630,57727,57747,59555,61664,63458,65268,66936,67249,67507,69078,70913,72775,74662,76373,76382,76392,78130,79651,81469,83082,83082,83082,83082,83899,85013,86117,86888,87595,87595,87595,88470,89364,90343,91064,91756,91756,91756,92257,92709,93082,93717,94214,94214,94214,94818,95450,96315,96793,97442,97442,97442,98329,99297,100284,101278,102244,102505,102505,103551,104772,106192,107402,108620,108620,108620,109972,111398,112723,113925,113925,114493,114493,116368,118482,120445,122207,123655,124264,124264,125872,127166,128414,129278,130082,130500,130500,130909,131392,132016
Los Ángeles,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,704,4620,6624,7929,8211,8347,10599,13359,16331,19200,22167,22729,22972,26568,29821,32513,34870,36139,36475,36668,38431,39523,40029,40415,40818,40829,40841,41576,42868,44328,45779,45779,45779,45779,48292,50153,51982,54053,55856,55857,55857,57780,59801,61596,63390,64877,64884,64886,66883,68777,70686,72345,73772,73779,73779,75781,77430,79267,80759,81160,81160,81160,81831,82839,83929,84766,85358,85383,85383,86171,87087,88100,88882,89628,89628,89628,90166,90650,91062,91744,91746,91802,91802,92668,93435,94294,94872,95581,95655,95656,96360,97016,97790,98476,99280,99551,99551,100305,101668,102941
Los Lagos,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,332,509,509,509,732,959,1200,1487,1690,1690,1690,2011,2188,2317,2447,2530,2530,2530,2713,2787,2819,2862,2934,2934,2934,2966,3371,3613,3771,3894,3894,3894,4171,4456,4669,4929,5160,5166,5166,5471,5756,5929,6052,6178,6181,6181,6289,6391,6522,6640,6791,6791,6791,6906,7029,7129,7211,7211,7211,7211,7303,7392,7478,7568,7653,7678,7678,7766,7881,7961,8020,8069,8069,8069,8070,8115,8149,8200,8227,8227,8227,8270,8273,8273,8279,8282,8282,8282,8317,8406,8524,8599,8690,8690,8690,8788,8887,9000,9093,9177,9177,9177,9256,9412,9471,9500,9500,9500,9500,9809,10160,10396,10655,10767,10767,10767,10958,11083,11105,11149,11171,11171,11171,11264,11419,11490
Los Lagos,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,302,463,463,464,689,918,1154,1442,1632,1643,1643,1953,2129,2265,2385,2471,2479,2479,2646,2716,2754,2798,2873,2873,2873,2925,3280,3513,3756,3756,3756,3757,4053,4300,4494,4704,4928,4959,4959,5243,5509,5691,5825,5957,5959,5959,6073,6166,6284,6385,6525,6525,6525,6653,6689,6696,6837,6935,6935,6935,7024,7122,7232,7310,7405,7405,7405,7420,7501,7648,7723,7790,7790,7790,7812,7866,7910,7981,7982,7982,7982,8041,8066,8077,8097,8106,8106,8106,8147,8246,8337,8404,8424,8424,8424,8538,8674,8749
Los Muermos,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,201,366,524,524,782,979,1227,1424,1701,1701,1701,2025,2301,2454,2592,2933,3008,3008,3153,3240,3348,3399,3463,3463,3463,3592,3697,3797,3895,3996,3996,3996,4086,4176,4278,4413,4551,4551,4551,4669,4818,4925,4995,5094,5126,5126,5287,5453,5564,5750,5889,5946,5946,6064,6187,6282,6367,6367,6367,6367,6541,6787,6969,7140,7234,7254,7254,7335,7404,7494,7555,7572,7572,7572,7572,7572,7572,7572,7584,7584,7584,7584,7657,7712,7769,7859,7859,7859,7905,7943,7982,8007,8046,8061,8061,8122,8169,8232,8294,8356,8356,8356,8433,8521,8603,8665,8665,8728,8728,8873,8967,9104,9217,9343,9422,9422,9553,9664,9767,9872,9884,9970,9970,10047,10130,10218
Los Muermos,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,192,348,492,492,756,947,1188,1381,1636,1636,1636,1961,2240,2401,2548,2868,2942,2942,3079,3173,3283,3331,3401,3402,3402,3533,3632,3729,3816,3816,3816,3816,3985,4090,4191,4329,4447,4448,4448,4550,4708,4818,4887,4985,5011,5011,5173,5338,5445,5629,5768,5810,5810,5926,6043,6152,6225,6236,6236,6236,6399,6616,6793,6964,7068,7087,7087,7173,7247,7334,7396,7426,7426,7426,7430,7433,7439,7455,7455,7458,7458,7465,7535,7589,7650,7753,7757,7757,7790,7831,7879,7901,7931,7945,7945,7978,8017,8051
Los Sauces,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,115,132,132,132,172,291,362,441,502,502,502,602,687,750,808,851,851,851,959,1042,1108,1163,1228,1228,1228,1282,1393,1491,1551,1593,1593,1593,1641,1715,1792,1856,1901,1901,1901,2019,2101,2216,2285,2349,2349,2349,2456,2507,2558,2614,2664,2664,2664,2731,2767,2797,2835,2835,2835,2835,2863,2912,2937,2951,2974,2974,2974,3005,3033,3040,3046,3047,3047,3047,3053,3088,3104,3123,3143,3143,3143,3162,3187,3198,3218,3236,3236,3236,3252,3289,3332,3364,3395,3395,3395,3455,3495,3531,3548,3577,3577,3577,3606,3616,3658,3695,3695,3695,3695,3788,3849,3960,4049,4109,4109,4109,4206,4287,4327,4365,4374,4374,4374,4398,4426,4455
Los Sauces,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,113,131,131,131,166,276,352,420,485,485,485,585,670,729,788,832,832,832,942,1025,1092,1140,1204,1204,1204,1252,1349,1443,1502,1502,1502,1502,1590,1664,1740,1803,1853,1853,1853,1959,2041,2139,2223,2276,2276,2276,2380,2425,2468,2518,2565,2565,2565,2638,2671,2713,2752,2762,2762,2762,2780,2832,2859,2875,2896,2896,2896,2923,2945,2955,2966,2973,2973,2973,2982,3010,3026,3043,3043,3043,3043,3085,3108,3127,3150,3168,3168,3168,3191,3226,3260,3295,3329,3329,3329,3382,3425,3465
Los Vilos,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,104,154,154,154,154,154,154,154,154,154,154,154,154,154,154,315,587,750,750,750,1061,1324,1804,2392,2777,2777,2777,3141,3489,3867,4153,4432,4432,4432,4700,4820,4991,5158,5324,5324,5324,5539,5776,6012,6220,6351,6351,6351,6546,6762,6954,7152,7256,7256,7256,7498,7668,7824,7943,8030,8030,8030,8265,8455,8619,8836,9033,9033,9033,9189,9352,9483,9631,9631,9631,9631,9802,9935,10070,10176,10264,10264,10264,10384,10485,10583,10676,10772,10772,10772,10845,10921,10983,11075,11132,11132,11132,11196,11264,11329,11406,11503,11508,11508,11630,11751,11860,11992,12056,12056,12056,12203,12393,12539,12701,12840,12840,12840,12912,13156,13367,13575,13575,13575,13575,13866,14189,14481,14789,15046,15046,15046,15366,15639,15921,16075,16204,16204,16204,16327,16424,16551
Los Vilos,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,103,147,150,150,150,150,150,150,150,150,150,150,150,150,150,150,151,151,151,151,151,151,301,556,719,720,720,1023,1282,1752,2299,2649,2655,2655,3023,3355,3716,4036,4303,4304,4304,4573,4728,4893,5050,5205,5207,5207,5413,5642,5867,6073,6144,6145,6145,6371,6583,6778,7012,7088,7088,7088,7317,7476,7637,7759,7856,7856,7857,8074,8252,8413,8603,8777,8777,8777,8928,9096,9225,9300,9308,9308,9308,9501,9639,9794,9898,9986,9987,9987,10078,10192,10285,10387,10497,10498,10498,10558,10669,10729,10836,10836,10836,10836,10912,10990,11102,11197,11308,11309,11309,11431,11557,11646,11748,11803,11803,11803,11939,12128,12274
Lota,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,531,978,1290,1357,1357,1821,2370,3072,3665,4276,4334,4334,5011,5411,5780,6097,6391,6441,6441,6678,6990,7240,7468,7634,7652,7652,7973,8378,8886,9331,9683,9689,9689,10077,10483,10875,11369,11728,11749,11749,12104,12436,12756,13007,13274,13289,13289,13524,13708,13956,14252,14512,14533,14533,14891,15159,15409,15696,15705,15705,15705,15913,16111,16335,16513,16638,16654,16654,16849,17035,17234,17379,17458,17458,17458,17574,17652,17728,17855,17936,17937,17937,18052,18148,18237,18283,18408,18409,18421,18631,18895,19125,19312,19477,19535,19535,19776,20049,20239,20424,20597,20597,20597,20808,21080,21281,21467,21468,21468,21468,21901,22452,22857,23239,23583,23619,23619,24050,24351,24654,24828,25019,25048,25048,25226,25384,25658
Lota,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,461,876,1169,1234,1234,1666,2193,2872,3492,4069,4114,4114,4788,5406,5954,6406,6700,6733,6733,6967,7307,7436,7524,7587,7600,7600,7833,8166,8617,9042,9078,9081,9081,9638,10084,10457,10797,11089,11113,11113,11499,11921,12177,12442,12732,12744,12745,13057,13267,13522,13792,14026,14041,14041,14407,14705,14953,15234,15313,15317,15321,15499,15672,15889,16060,16192,16210,16210,16389,16553,16733,16834,16934,16934,16934,17051,17159,17255,17367,17370,17377,17377,17549,17700,17814,17908,18016,18018,18018,18236,18467,18679,18827,18957,18992,18994,19163,19408,19594
Lumaco,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,132,201,290,290,452,611,745,819,894,905,905,1094,1267,1390,1464,1560,1568,1568,1607,1655,1685,1706,1733,1733,1733,1761,1799,1812,1831,1861,1863,1863,1903,1959,2029,2075,2126,2126,2126,2192,2252,2322,2399,2438,2440,2440,2586,2645,2692,2751,2818,2818,2818,2915,2956,2997,3065,3065,3065,3065,3109,3161,3180,3205,3241,3241,3241,3251,3301,3318,3342,3368,3368,3368,3402,3415,3444,3460,3481,3481,3481,3503,3520,3533,3551,3567,3567,3567,3586,3611,3611,3611,3611,3611,3611,3649,3668,3690,3709,3740,3740,3740,3762,3785,3808,3837,3837,3837,3837,3893,3986,4043,4110,4219,4219,4219,4300,4356,4426,4457,4473,4473,4473,4489,4507,4524
Lumaco,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,120,179,265,265,418,557,676,745,816,816,816,1008,1175,1295,1367,1474,1482,1482,1524,1576,1617,1640,1674,1674,1674,1699,1733,1747,1780,1780,1780,1780,1832,1891,1943,1993,2045,2045,2045,2064,2123,2189,2277,2342,2342,2342,2472,2531,2583,2618,2685,2686,2686,2778,2819,2859,2919,2931,2931,2931,2973,3013,3013,3014,3017,3017,3017,3066,3105,3152,3169,3198,3198,3198,3232,3257,3267,3282,3282,3282,3282,3331,3368,3401,3420,3447,3447,3447,3465,3495,3502,3507,3515,3515,3515,3544,3567,3583
Machalí,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,100,190,337,479,479,479,795,1179,1641,2081,2539,2539,2539,3156,3595,4010,4336,4597,4615,4615,4835,5062,5298,5533,5671,5702,5702,6125,6556,6982,7368,7744,7744,7745,8059,8341,8582,8919,9285,9303,9303,9678,10075,10444,10751,11114,11116,11116,11451,11786,12114,12480,12899,12902,12902,13292,13625,13906,14180,14180,14196,14196,14383,14569,14708,14870,15030,15035,15035,15161,15305,15545,15698,15859,15859,15859,15967,16051,16113,16290,16415,16418,16418,16497,16574,16714,16829,16962,16962,16962,17182,17458,17686,17902,18163,18163,18163,18431,18871,19163,19384,19684,19684,19684,20024,20437,20868,21454,21756,21756,21756,22197,22592,22863,22892,23225,23225,23225,23575,23919,24080,24140,24171,24171,24171,24447,24558,24663
Machalí,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,97,165,300,447,447,459,756,1121,1560,1978,2429,2431,2431,3046,3466,3897,4214,4475,4493,4493,4726,4936,5165,5386,5543,5564,5564,5957,6403,6816,7360,7361,7364,7364,7798,8087,8254,8687,9049,9070,9070,9339,9637,10080,10432,10808,10833,10833,11158,11505,11847,12183,12580,12580,12580,12918,13179,13547,13810,13827,13835,13835,13993,14203,14388,14555,14722,14723,14723,14844,14992,15228,15385,15547,15547,15547,15649,15743,15805,16014,16037,16037,16037,16099,16256,16384,16404,16530,16531,16531,16765,17049,17267,17463,17697,17699,17699,17984,18365,18537
Macul,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,1485,2591,4084,4330,4330,5998,7674,9771,11468,12997,13183,13183,15253,16847,18156,19269,20293,20404,20404,20947,21417,21880,22381,22725,22758,22758,23758,24945,26149,27225,28295,28403,28403,29475,30359,31204,32234,33196,33439,33439,34494,35651,36819,37805,38655,38873,38873,40079,41294,42447,43541,44758,44915,44915,46093,47020,47859,48819,48819,48819,48819,49321,49951,50633,51104,51615,51803,51803,52468,53090,53653,54079,54499,54678,54678,55022,55262,55476,55895,56104,56196,56196,56472,56723,56992,57145,57500,57500,57500,58085,58582,59172,59737,60341,60570,60570,61296,62062,62835,63533,64274,64274,64274,65284,66447,67345,68256,68256,68756,68756,70090,71505,72796,73959,74808,75318,75318,76407,77319,77816,78182,78714,79051,79051,79302,79518,79880
Macul,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,309,1346,2471,4028,4108,4110,5702,7365,9373,11087,12636,12806,12807,14872,16581,18089,19506,20561,20658,20659,21320,21847,22165,22389,22700,22727,22728,23517,24628,25625,26900,26908,26909,26910,28547,29589,30488,31447,32433,32684,32684,33690,34719,35903,36865,37687,37945,37945,39129,40281,41384,42407,43463,43692,43693,44909,45843,46672,47542,47790,47790,47791,48205,48796,49517,49999,50443,50504,50505,51104,51816,52417,52812,53165,53165,53165,53588,53934,54239,54698,54709,54822,54822,55252,55625,55939,56108,56375,56443,56450,56867,57228,57697,58197,58733,58973,58981,59679,60392,61113
Máfil,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,116,186,255,255,255,314,365,437,546,643,643,643,739,840,887,932,977,977,977,1023,1070,1180,1218,1260,1260,1260,1340,1411,1514,1597,1634,1634,1634,1712,1774,1833,1902,1959,1959,1959,2039,2111,2170,2259,2304,2304,2304,2351,2396,2442,2512,2566,2566,2566,2623,2661,2715,2797,2797,2797,2797,2821,2863,2906,2923,2954,2954,2954,2974,2998,3054,3116,3130,3130,3130,3156,3190,3191,3192,3192,3192,3192,3217,3219,3226,3242,3262,3262,3262,3287,3315,3334,3366,3397,3397,3397,3423,3450,3487,3507,3543,3543,3543,3567,3635,3671,3773,3808,3808,3808,3866,3944,4032,4104,4156,4156,4156,4212,4269,4305,4347,4376,4376,4376,4401,4424,4455
Máfil,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,110,176,245,246,246,303,353,427,521,624,624,624,711,803,853,899,951,951,951,995,1038,1150,1190,1229,1230,1230,1282,1360,1461,1554,1554,1554,1554,1628,1707,1774,1842,1907,1907,1907,1976,2041,2101,2189,2248,2249,2249,2292,2344,2379,2447,2495,2495,2495,2553,2598,2630,2690,2717,2717,2717,2746,2783,2821,2848,2875,2875,2875,2899,2935,2984,3023,3052,3053,3053,3072,3102,3110,3121,3125,3125,3125,3149,3158,3174,3189,3207,3207,3207,3233,3263,3279,3304,3335,3335,3335,3364,3393,3423
Maipú,First,0,90,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,654,3127,5940,8520,9043,9239,13912,19113,24405,29655,34859,35763,35763,41678,47016,51454,55381,59008,59596,59596,61766,63758,65828,67524,69321,69618,69618,73808,78528,83270,87851,92326,93126,93148,97095,100977,104911,109235,112372,113995,114022,117923,122129,126252,130282,133847,135481,135482,139279,142908,147352,151189,155337,156445,156445,159963,163549,166731,169967,169973,169973,169973,171341,173192,175840,177639,179113,179908,179908,180902,182864,185216,186676,187806,188033,188033,188401,189407,189891,191267,192058,192361,192361,192925,193488,194264,194765,196050,196050,196050,197829,199587,201379,203294,205280,206271,206271,208747,211376,213951,216240,218695,218695,218695,221703,225278,228323,231130,231522,231742,231742,235379,239716,244175,248362,251524,252318,252318,255830,259699,262783,262921,263060,263321,263321,263602,264634,266145
Maipú,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,160,160,160,160,160,160,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,190,680,2805,5469,7932,8334,8509,12636,17869,23513,28540,33004,33919,33926,40292,45959,51005,55885,60189,60720,60721,62909,64689,66115,67056,68170,68397,68398,71758,76611,81425,87117,87165,87170,87175,92754,96246,100932,106150,109618,110816,110830,114776,118558,122656,126621,130008,131103,131105,134855,139031,142975,146745,149819,150638,150639,154767,158303,161809,165067,165899,165902,165902,167343,169000,171064,172523,173922,174168,174168,174840,177113,179122,180519,181879,181879,181879,182680,183798,184535,186065,186099,186477,186489,187258,188415,189216,190088,190979,191167,191179,192314,193634,194981,196592,198190,198822,198838,201280,203789,206180
Malloa,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,556,921,1207,1239,1239,1312,1446,1544,1616,1660,1660,1660,2074,2336,2447,2517,2578,2578,2578,2632,2672,2719,2765,2785,2785,2785,2920,3038,3320,3493,3583,3584,3584,3816,3966,4097,4238,4383,4383,4383,4756,4919,5039,5160,5326,5326,5326,5539,5645,5792,5950,6099,6099,6099,6328,6457,6578,6705,6705,6705,6705,6910,6992,7038,7038,7040,7040,7040,7155,7238,7321,7365,7400,7400,7400,7457,7490,7520,7551,7575,7575,7575,7605,7648,7682,7707,7757,7757,7757,7843,7971,8051,8118,8169,8169,8169,8301,8405,8499,8595,8674,8674,8674,8836,8939,9172,9486,9486,9545,9545,9757,9914,10067,10204,10333,10333,10333,10510,10669,10730,10798,10839,10845,10845,10942,10977,11030
Malloa,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,90,90,550,915,1185,1215,1215,1291,1415,1511,1585,1630,1630,1630,2035,2289,2409,2477,2539,2539,2539,2594,2643,2692,2742,2765,2765,2765,3042,3183,3315,3524,3524,3524,3524,3765,3919,4057,4198,4338,4338,4338,4655,4835,4959,5081,5236,5237,5237,5464,5569,5711,5855,5995,5995,5995,6229,6357,6491,6580,6623,6623,6623,6717,6893,6955,6959,6964,6964,6964,7071,7158,7238,7294,7325,7325,7325,7375,7416,7440,7482,7482,7483,7483,7517,7553,7582,7609,7658,7658,7658,7792,7855,7926,7992,8052,8056,8056,8180,8278,8370
Marchihue,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,186,287,350,350,350,378,378,547,709,820,820,820,972,1187,1411,1660,1798,1798,1798,1931,2130,2307,2396,2464,2464,2464,2657,2785,2823,2850,2864,2864,2864,2987,3038,3088,3127,3167,3167,3167,3235,3333,3421,3525,3604,3604,3604,3690,3774,3869,3943,3983,3983,3983,4032,4103,4223,4288,4288,4288,4288,4341,4409,4488,4546,4562,4562,4562,4572,4600,4652,4686,4712,4712,4712,4720,4731,4747,4778,4791,4791,4791,4795,4843,4859,4883,4903,4903,4903,4931,4964,5014,5049,5087,5087,5087,5139,5175,5217,5288,5331,5331,5331,5393,5465,5559,5693,5693,5693,5693,5785,5870,5961,6054,6102,6102,6102,6135,6222,6291,6299,6302,6302,6302,6306,6316,6340
Marchihue,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,189,290,349,349,349,375,379,548,705,808,809,809,965,1178,1393,1646,1770,1770,1770,1921,2113,2285,2373,2439,2439,2439,2619,2744,2788,2827,2827,2827,2827,2949,3003,3059,3098,3139,3139,3139,3199,3291,3381,3474,3561,3561,3561,3646,3731,3819,3889,3934,3934,3934,3979,4079,4177,4239,4247,4247,4247,4295,4363,4443,4497,4517,4517,4517,4521,4556,4615,4651,4677,4677,4677,4683,4694,4709,4751,4751,4751,4751,4761,4806,4823,4844,4863,4863,4863,4892,4925,4972,5007,5028,5029,5029,5085,5127,5170
María Elena,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,86,112,126,126,126,144,154,168,178,187,187,187,319,402,457,496,526,526,526,575,608,647,669,690,690,690,749,792,817,854,866,866,866,893,923,973,1037,1077,1120,1120,1167,1239,1255,1289,1326,1356,1367,1494,1654,1731,1816,1992,2002,2008,2070,2190,2230,2265,2265,2265,2265,2295,2394,2439,2635,2663,2679,2679,2689,2921,3001,3134,3204,3204,3204,3208,3212,3222,3288,3308,3310,3310,3311,3313,3316,3319,3346,3346,3346,3361,3376,3395,3407,3420,3423,3423,3441,3459,3479,3496,3509,3509,3510,3535,3572,3595,3613,3613,3624,3632,3711,3772,3830,3838,3904,3905,3907,3969,3972,4036,4065,4108,4108.0,4108.0,4108.230,4108.23480,4108.2348310
